name,phase,other_names,country,capacity_mw,status,start_year,operator,owner,lat,lon,location_accuracy,state,gem_location_id,gem_phase_id,source
13 Roeles solar farm,--,,Spain,14.9,operating,2020.0,,Quinto Armónico [100%],41.3326,-4.9094,exact,Castilla y León,L100000824285,G100000827392,GEM Global Solar Power Tracker Feb-2026
Abanilla A solar project,--,,Spain,6.3,operating,2017.0,,,38.1905,-1.0109,exact,Región de Murcia,L100001009197,G100001010567,GEM Global Solar Power Tracker Feb-2026
Abarloar solar farm,--,,Spain,82.5,pre-construction,,,Abarloar Solar SL [100%],40.4254,-3.1831,approximate,Comunidad de Madrid,L100000824286,G100000827393,GEM Global Solar Power Tracker Feb-2026
Abedul 2 New Energy solar farm,--,,Spain,51.6,pre-construction,,Progressum Energy Developments,Progressum Energy Developments [100%],41.6142,-0.7043,approximate,Aragón,L100000824287,G100000827394,GEM Global Solar Power Tracker Feb-2026
Abedul IV solar farm,--,,Spain,49.8,pre-construction,,,,41.7153,-0.6278,exact,Andalucía,L100001062081,G100001071222,GEM Global Solar Power Tracker Feb-2026
Abedul V solar farm,--,,Spain,24.9,pre-construction,,,,41.6914,-0.6336,exact,Aragón,L100001062082,G100001071223,GEM Global Solar Power Tracker Feb-2026
Abedul VI solar farm,--,,Spain,49.8,pre-construction,,,,41.7325,-0.6806,exact,Aragón,L100001062080,G100001071221,GEM Global Solar Power Tracker Feb-2026
Abenójar solar project,--,,Spain,7.6,operating,2017.0,,,38.8979,-4.3661,exact,Castilla-La Mancha,L100001009150,G100001010520,GEM Global Solar Power Tracker Feb-2026
Abertura solar farm,1,,Spain,23.0,operating,2008.0,Iberdrola,LongSol [100%],39.2226,-5.7853,exact,Extremadura,L100000805860,G100000806742,GEM Global Solar Power Tracker Feb-2026
Abeto New Energy solar farm,--,,Spain,75.0,pre-construction,,,Abeto New Energy SLU [100%],42.4927,-1.6669,approximate,Aragón,L100001003309,G100001003790,GEM Global Solar Power Tracker Feb-2026
Abeto solar farm,--,,Spain,50.0,pre-construction,,Abeto Solar,Total Solar Ibérica [100%],40.3974,-3.3104,approximate,Comunidad de Madrid,L100000824288,G100000827395,GEM Global Solar Power Tracker Feb-2026
Ablitas solar project,--,,Spain,6.9,operating,2023.0,,,42.0061,-1.6916,exact,Comunidad Foral de Navarra,L100001009219,G100001010589,GEM Global Solar Power Tracker Feb-2026
Abona solar project,--,,Spain,17.3,operating,2017.0,,,28.1606,-16.4659,exact,Canarias,L100001009235,G100001010605,GEM Global Solar Power Tracker Feb-2026
Abuela Santa Ana Hybrid solar farm,--,,Spain,42.6,pre-construction,,,,39.0608,-1.5032,approximate,Castilla-La Mancha,L100001063979,G100001073573,GEM Global Solar Power Tracker Feb-2026
Abuzaderas solar project,--,,Spain,6.4,operating,2017.0,,,38.7631,-1.7792,exact,Castilla-La Mancha,L100001009091,G100001010461,GEM Global Solar Power Tracker Feb-2026
Acampo Arpal solar farm,--,,Spain,9.2,operating,2023.0,,EDPR Renewable Energy Sources of Greece 1 Sole Proprietorship [100%],41.5712,-0.8315,approximate,Aragón,L100000824289,G100000827396,GEM Global Solar Power Tracker Feb-2026
Acampo Estrén solar farm,--,,Spain,24.9,pre-construction,,,Parque Fotovoltaico Estrén SL [100%],41.5468,-0.8604,approximate,Aragón,L100001000586,G100001000897,GEM Global Solar Power Tracker Feb-2026
Acampo de Orús solar farm,--,,Spain,258.9,shelved - inferred 2 y,,Ener Delta,,41.3473,-0.7809,approximate,Aragón,L100000824290,G100000827397,GEM Global Solar Power Tracker Feb-2026
Acebuche solar farm,--,,Spain,50.0,pre-construction,,,Hanwha Energy Corp,38.659,-4.2902,approximate,Castilla-La Mancha,L100001005471,G100001006511,GEM Global Solar Power Tracker Feb-2026
Aceca Hybrid solar farm,--,,Spain,347.5,pre-construction,,,Iberdrola SA,39.9448,-3.8557,approximate,Castilla-La Mancha,L100001063765,G100001073302,GEM Global Solar Power Tracker Feb-2026
Acequia solar farm,--,,Spain,42.5,pre-construction,,,Acequia Solar SL [100%],40.6587,-3.1626,approximate,Castilla-La Mancha,L100000824291,G100000827398,GEM Global Solar Power Tracker Feb-2026
Actiu Technological Park solar project,--,,Spain,3.7,operating,2017.0,,,38.6062,-0.6593,exact,Comunidad Valenciana,L100001009269,G100001010639,GEM Global Solar Power Tracker Feb-2026
Actuel solar farm,--,,Spain,100.0,announced,,,,40.3592,-1.1411,approximate,Aragón,L100001064029,G100001073631,GEM Global Solar Power Tracker Feb-2026
Adaja 1 solar farm,--,,Spain,51.7,pre-construction,,,Rin Power,41.8676,-3.5387,approximate,Castilla y León,L100001005629,G100001006749,GEM Global Solar Power Tracker Feb-2026
Adeje solar farm,--,,Spain,50.0,pre-construction,,,Adeje Solar SL [100%],41.4485,0.6647,approximate,Cataluña,L100001000846,G100001001203,GEM Global Solar Power Tracker Feb-2026
Adelfa solar farm,--,,Spain,50.0,pre-construction,,Adelfa Solar,Ignis Energía SL [100%],42.1185,-4.6629,approximate,Castilla y León,L100001004644,G100001005448,GEM Global Solar Power Tracker Feb-2026
Adolfo Suárez Madrid-Barajas Airport solar farm,1,,Spain,7.5,pre-construction,2027.0,,Aeropuertos Españoles y Navegación Aérea (AENA) [100%],40.4984,-3.5676,exact,Comunidad de Madrid,L100000824292,G100000827399,GEM Global Solar Power Tracker Feb-2026
Adolfo Suárez Madrid-Barajas Airport solar farm,2,,Spain,120.0,pre-construction,2026.0,,Aeropuertos Españoles y Navegación Aérea (AENA) [100%],40.4984,-3.5676,exact,Comunidad de Madrid,L100000824292,G100000827400,GEM Global Solar Power Tracker Feb-2026
Aena Aeropuerto Madrid Barajas solar farm,--,,Spain,120.0,pre-construction,,,Aeropuertos Españoles y Navegación Aérea (AENA),40.5223,-3.628,approximate,Comunidad de Madrid,L100001005600,G100001006707,GEM Global Solar Power Tracker Feb-2026
Aena Aeropuerto Valencia solar farm,--,,Spain,25.0,construction,,,,39.4943,-0.4848,approximate,Comunidad Valenciana,L100001063126,G100001072508,GEM Global Solar Power Tracker Feb-2026
Aeropuerto Sevilla solar farm,--,,Spain,50.0,pre-construction,,Matrix Renewables,Matrix Renewables [100%],37.4201,-5.8933,approximate,Andalucía,L100000824293,G100000827401,GEM Global Solar Power Tracker Feb-2026
Agenor solar farm,--,,Spain,50.0,operating,2024.0,,NextEnergy Solar Fund [100%],36.5207,-6.2794,approximate,Andalucía,L100000824294,G100000827402,GEM Global Solar Power Tracker Feb-2026
Ager solar project,--,,Spain,11.4,operating,2008.0,,,38.328,-6.688,exact,Extremadura,L100001009113,G100001010483,GEM Global Solar Power Tracker Feb-2026
Agr Maria solar farm,Alpha,,Spain,165.3,pre-construction,,Solaria,,41.7693,-4.2198,approximate,Castilla y León,L100001005595,G100001006697,GEM Global Solar Power Tracker Feb-2026
Agr Maria solar farm,Beta,,Spain,140.1,pre-construction,,Solaria,,41.7693,-4.2198,approximate,Castilla y León,L100001005595,G100001006698,GEM Global Solar Power Tracker Feb-2026
Agr Maria solar farm,Delta,,Spain,228.6,pre-construction,,Solaria,,41.7693,-4.2198,approximate,Castilla y León,L100001005595,G100001006700,GEM Global Solar Power Tracker Feb-2026
Agr Maria solar farm,Gamma,,Spain,140.1,pre-construction,,Solaria,,41.7693,-4.2198,approximate,Castilla y León,L100001005595,G100001006699,GEM Global Solar Power Tracker Feb-2026
Agripa solar farm,--,,Spain,45.3,operating,2022.0,,Endesa SA [100%],39.2774,-6.2734,approximate,Extremadura,L100000824295,G100000827403,GEM Global Solar Power Tracker Feb-2026
Aguasvivas solar farm,--,,Spain,55.0,operating,2024.0,Bruc Management,Q Energy,41.1471,-0.8656,approximate,Aragón,L100001020808,G100001023756,GEM Global Solar Power Tracker Feb-2026
Aguzadera solar farm,--,,Spain,368.4,pre-construction,,,Ric Sun Energy [100%],37.6087,-4.6016,approximate,Andalucía,L100000824296,G100000827404,GEM Global Solar Power Tracker Feb-2026
Ahigal-Cerezo solar farm,--,Complejo Zajuril,Spain,137.0,announced,,Proyecto Fotovoltaico Ahigal-Cerezo,Statkraft AS [100%],40.2079,-6.2002,approximate,Extremadura,L100001003180,G100001003646,GEM Global Solar Power Tracker Feb-2026
Alange solar project,--,,Spain,8.5,operating,2008.0,,,38.8064,-6.2832,exact,Extremadura,L100001009114,G100001010484,GEM Global Solar Power Tracker Feb-2026
Alarcos solar farm,1,,Spain,50.0,operating,2020.0,RWE,RWE AG [100%],38.936,-3.9897,approximate,Castilla-La Mancha,L100000805945,G100000806845,GEM Global Solar Power Tracker Feb-2026
Alaudae solar farm,--,,Spain,45.3,operating,2022.0,,Endesa SA [100%],39.2774,-6.2734,approximate,Extremadura,L100000824297,G100000827405,GEM Global Solar Power Tracker Feb-2026
Alba (Spain) solar farm,--,,Spain,49.9,pre-construction,,,Lured Potencia SL [100%],42.5977,-5.49,approximate,Castilla y León,L100001004669,G100001005479,GEM Global Solar Power Tracker Feb-2026
Albacete Casa Grande solar project,--,,Spain,10.0,operating,2008.0,,,39.044,-1.976,exact,Castilla-La Mancha,L100001009092,G100001010462,GEM Global Solar Power Tracker Feb-2026
Albacete Tinajeros solar project,--,,Spain,19.1,operating,2017.0,,,39.0464,-1.7925,exact,Castilla-La Mancha,L100001009094,G100001010464,GEM Global Solar Power Tracker Feb-2026
Albacete solar farm,--,,Spain,150.6,pre-construction,,Greenpower Renovables,,39.6111,-2.7904,approximate,Castilla-La Mancha,L100000824298,G100000827406,GEM Global Solar Power Tracker Feb-2026
Albacete solar project I,--,,Spain,16.2,operating,2017.0,,,38.9547,-2.0426,exact,Castilla-La Mancha,L100001009444,G100001010814,GEM Global Solar Power Tracker Feb-2026
Albacete solar project II,--,,Spain,2.5,operating,2017.0,,,38.8789,-2.0407,exact,Castilla-La Mancha,L100001009537,G100001010907,GEM Global Solar Power Tracker Feb-2026
Albacete solar project III,--,,Spain,3.8,operating,2017.0,,,38.9841,-1.9797,exact,Castilla-La Mancha,L100001009549,G100001010919,GEM Global Solar Power Tracker Feb-2026
Albacete solar project IV,--,,Spain,3.8,operating,2023.0,,,38.9478,-1.9552,exact,Castilla-La Mancha,L100001009590,G100001010960,GEM Global Solar Power Tracker Feb-2026
Albacete solar project IX,--,,Spain,5.2,operating,2023.0,,,39.0426,-1.8075,exact,Castilla-La Mancha,L100001009942,G100001011312,GEM Global Solar Power Tracker Feb-2026
Albacete solar project V,--,,Spain,2.5,operating,2023.0,,,38.9449,-1.8229,exact,Castilla-La Mancha,L100001009611,G100001010981,GEM Global Solar Power Tracker Feb-2026
Albacete solar project VI,--,,Spain,3.3,operating,2017.0,,,39.0644,-1.7181,exact,Castilla-La Mancha,L100001009636,G100001011006,GEM Global Solar Power Tracker Feb-2026
Albacete solar project VII,--,,Spain,4.4,operating,2017.0,,,39.0947,-1.7538,exact,Castilla-La Mancha,L100001009708,G100001011078,GEM Global Solar Power Tracker Feb-2026
Albacete solar project VIII,--,,Spain,6.0,operating,2023.0,,,39.0776,-2.0682,exact,Castilla-La Mancha,L100001009827,G100001011197,GEM Global Solar Power Tracker Feb-2026
Albacete solar project X,--,,Spain,1.1,operating,2023.0,,,39.1377,-1.8027,exact,Castilla-La Mancha,L100001052894,G100001060688,GEM Global Solar Power Tracker Feb-2026
Albacete solar project XI,--,,Spain,6.0,operating,2017.0,,,39.0514,-2.0678,exact,Castilla-La Mancha,L100001053045,G100001060839,GEM Global Solar Power Tracker Feb-2026
Albacete solar project XII,--,,Spain,3.6,operating,2023.0,,,38.9363,-1.8648,exact,Castilla-La Mancha,L100001053210,G100001061004,GEM Global Solar Power Tracker Feb-2026
Albacete solar project XIII,--,,Spain,10.1,operating,2017.0,,,38.928,-1.9359,exact,Castilla-La Mancha,L100001053229,G100001061023,GEM Global Solar Power Tracker Feb-2026
Albacete solar project XIV,--,,Spain,2.0,operating,2023.0,,,38.9374,-1.8798,exact,Castilla-La Mancha,L100001053304,G100001061098,GEM Global Solar Power Tracker Feb-2026
Albacete solar project XV,--,,Spain,1.0,operating,2022.0,,,39.0677,-1.7755,exact,Castilla-La Mancha,L100001053363,G100001061157,GEM Global Solar Power Tracker Feb-2026
Albacete solar project XVI,--,,Spain,4.4,operating,2017.0,,,38.93,-1.8708,exact,Castilla-La Mancha,L100001053538,G100001061332,GEM Global Solar Power Tracker Feb-2026
Albares solar farm,--,,Spain,90.5,pre-construction,,Green Capital Power,Capital Energy [100%],40.2376,-3.7121,approximate,Comunidad de Madrid,L100000824299,G100000827407,GEM Global Solar Power Tracker Feb-2026
Albeniz solar farm,--,,Spain,50.0,operating,2022.0,,Aquila European Renewables PLC [100%],36.8476,-2.4499,approximate,Andalucía,L100000824300,G100000827408,GEM Global Solar Power Tracker Feb-2026
Alberche 1 solar farm,--,,Spain,49.5,pre-construction,,,Forestalia SL,39.9127,-4.6778,approximate,Castilla-La Mancha,L100001005360,G100001006388,GEM Global Solar Power Tracker Feb-2026
Albornez solar farm,--,,Spain,82.5,pre-construction,,,ib vogt gmbH,38.0218,-4.384,approximate,Andalucía,L100001005615,G100001006731,GEM Global Solar Power Tracker Feb-2026
Alcal 1 solar farm,--,,Spain,57.0,pre-construction,,,Isis Sun Power SL [100%],40.8396,-3.3705,approximate,Castilla-La Mancha,L100000824301,G100000827409,GEM Global Solar Power Tracker Feb-2026
Alcalá De Guadaira Solar Park,1,Amazon Sevilla,Spain,149.0,operating,2020.0,Amazon,Amazon [100%],37.3563,-5.8171,approximate,Andalucía,L100000805699,G100000806555,GEM Global Solar Power Tracker Feb-2026
Alcalá de los Gazules solar farm,Alamak,"Alya Solar, Alamak Solar",Spain,49.9,operating,2024.0,Alya Solar,Euder Energy SL [100%],36.4634,-5.7266,approximate,Andalucía,L100000824302,G100000827410,GEM Global Solar Power Tracker Feb-2026
Alcalá de los Gazules solar farm,Alya,"Alya Solar, Alamak Solar",Spain,24.0,operating,2024.0,Alamak Solar,Euder Energy SL [100%],36.4634,-5.7266,approximate,Andalucía,L100000824302,G100000827411,GEM Global Solar Power Tracker Feb-2026
Alcaniz solar farm,--,,Spain,50.0,shelved,,,,42.02,-0.2749,approximate,Aragón,L100001007667,G100001008893,GEM Global Solar Power Tracker Feb-2026
Alcantarilla Área Metropolitana De Murcia solar project,--,,Spain,3.7,operating,2021.0,,,37.9904,-1.2573,exact,Región de Murcia,L100001010350,G100001011720,GEM Global Solar Power Tracker Feb-2026
Alcarria solar farm,--,,Spain,40.0,pre-construction,2026.0,,Iberdrola SA [100%],39.6196,-2.7904,approximate,Castilla-La Mancha,L100000824304,G100000827413,GEM Global Solar Power Tracker Feb-2026
Alcaudete solar project,--,,Spain,12.6,operating,2017.0,,,37.5705,-4.0933,exact,Andalucía,L100001009187,G100001010557,GEM Global Solar Power Tracker Feb-2026
Alcazar solar farm,1,Planta Solar Alcazar,Spain,44.9,operating,2019.0,Energías Ambientales de Soria,Actividades de Construcción y Servicios SA [24%]; Galp Energia SGPS SA [75%],39.3882,-3.2117,approximate,Castilla-La Mancha,L100000824305,G100000827414,GEM Global Solar Power Tracker Feb-2026
Alcazar solar farm,2,Planta Solar Alcazar,Spain,44.9,operating,2019.0,Energías Ambientales de Soria,Actividades de Construcción y Servicios SA [24%]; Galp Energia SGPS SA [75%],39.3882,-3.2117,approximate,Castilla-La Mancha,L100000824305,G100000827415,GEM Global Solar Power Tracker Feb-2026
Alcione solar farm,--,,Spain,50.0,pre-construction,,,,36.8514,-5.2059,approximate,Andalucía,L100001062043,G100001071164,GEM Global Solar Power Tracker Feb-2026
Alcobendas solar project,--,,Spain,2.5,operating,2024.0,,,40.5258,-3.5892,exact,Comunidad de Madrid,L100001053701,G100001061495,GEM Global Solar Power Tracker Feb-2026
Alcolea I-II solar project,--,,Spain,12.5,operating,2017.0,,,37.9186,-4.6728,exact,Andalucía,L100001009158,G100001010528,GEM Global Solar Power Tracker Feb-2026
Alconchel solar farm,--,Alconchel 2000,Spain,12.0,operating,2024.0,Alter Enersun,CL Grupo Industrial; Senergy Group,39.6196,-2.7904,approximate,Extremadura,L100000824306,G100000827416,GEM Global Solar Power Tracker Feb-2026
Alconchel solar project,--,,Spain,10.5,operating,2017.0,,,38.5231,-7.0589,exact,Extremadura,L100001009115,G100001010485,GEM Global Solar Power Tracker Feb-2026
Alconera II solar project,--,,Spain,7.2,operating,2009.0,,,38.3773,-6.4587,exact,Extremadura,L100001009117,G100001010487,GEM Global Solar Power Tracker Feb-2026
Alconera solar project,--,,Spain,7.4,operating,2008.0,,,38.365,-6.4549,exact,Extremadura,L100001009116,G100001010486,GEM Global Solar Power Tracker Feb-2026
Alcores Calaspasol solar farm,--,,Spain,39.9,operating,,,,37.4706,-5.647,approximate,Andalucía,L100000824307,G100000827417,GEM Global Solar Power Tracker Feb-2026
Alcores solar farm,1,,Spain,40.0,operating,2019.0,X-Elio,X-Elio [100%],37.436,-5.793,exact,Andalucía,L100000806037,G100000806950,GEM Global Solar Power Tracker Feb-2026
Alcornoque solar farm,--,,Spain,50.0,pre-construction,,Alcornoque Solar,Ignis Energía SL [100%],42.1237,-4.6615,approximate,Castilla y León,L100001004639,G100001005444,GEM Global Solar Power Tracker Feb-2026
Alcudia solar farm,--,,Spain,58.0,pre-construction,,,,38.0252,-4.3913,approximate,Andalucía,L100001061824,G100001070892,GEM Global Solar Power Tracker Feb-2026
Alcántara solar farm,--,,Spain,100.0,pre-construction,,Benbros Solar,,38.791,-5.6362,approximate,Extremadura,L100000824303,G100000827412,GEM Global Solar Power Tracker Feb-2026
Aldea de San Miguel solar farm,--,,Spain,53.2,pre-construction,,New Universeline System,BayWa R.E. AG [100%],41.464,-4.6274,approximate,Castilla y León,L100000824308,G100000827418,GEM Global Solar Power Tracker Feb-2026
Aldea del Conde solar project,--,,Spain,17.1,operating,2017.0,,,38.8169,-6.7485,exact,Extremadura,L100001009118,G100001010488,GEM Global Solar Power Tracker Feb-2026
Aldehuela solar farm,--,,Spain,130.0,shelved,,Dos Grados Capital,,40.3051,-3.7307,approximate,Comunidad de Madrid,L100000824309,G100000827419,GEM Global Solar Power Tracker Feb-2026
Alentisque solar farm,--,,Spain,49.3,pre-construction,,,,41.4029,-2.3248,approximate,Castilla y León,L100001064013,G100001073613,GEM Global Solar Power Tracker Feb-2026
Alfajarín solar farm,--,,Spain,76.8,pre-construction,,Enel Green Power,Enel Green Power SpA [100%],41.614,-0.7038,approximate,Aragón,L100000824311,G100000827421,GEM Global Solar Power Tracker Feb-2026
Alfamén solar farm,--,,Spain,200.0,shelved - inferred 2 y,,,Alfamen Energía SL [100%],41.4471,-1.2366,approximate,Aragón,L100000824312,G100000827422,GEM Global Solar Power Tracker Feb-2026
Alfarrasi solar project,--,,Spain,11.7,operating,2017.0,,,38.9059,-0.5089,exact,Comunidad Valenciana,L100001009270,G100001010640,GEM Global Solar Power Tracker Feb-2026
Algarrobo (Spain) solar project,--,,Spain,6.9,operating,2017.0,,,37.6026,-5.103,exact,Andalucía,L100001009242,G100001010612,GEM Global Solar Power Tracker Feb-2026
Algibicos solar farm,1,Algibicos PV,Spain,49.0,operating,2020.0,EKZ Renewables,Elektrizitätswerke des Kantons Zürich [100%],37.847,-1.118,exact,Región de Murcia,L100000805769,G100000806638,GEM Global Solar Power Tracker Feb-2026
Algiedi solar farm,--,,Spain,20.6,operating,2022.0,,Solaria Energía y Medio Ambiente SA [100%],41.9829,-4.4281,approximate,Castilla y León,L100000824313,G100000827423,GEM Global Solar Power Tracker Feb-2026
Alhama solar project,--,,Spain,9.6,operating,2017.0,,,37.8335,-1.3843,exact,Región de Murcia,L100001009198,G100001010568,GEM Global Solar Power Tracker Feb-2026
Alhendín solar farm,--,,Spain,56.0,operating,2024.0,,BayWa R.E. AG [100%],37.1774,-3.5937,approximate,Andalucía,L100000824314,G100000827424,GEM Global Solar Power Tracker Feb-2026
Aliaga solar farm (Spain),1,,Spain,80.0,pre-construction,,Sonnedix,,37.6087,-4.6016,approximate,Andalucía,L100000824315,G100000827425,GEM Global Solar Power Tracker Feb-2026
Aliaga solar farm (Spain),2,,Spain,80.0,pre-construction,,Sonnedix,,37.6087,-4.6016,approximate,Andalucía,L100000824315,G100000827426,GEM Global Solar Power Tracker Feb-2026
Alicante solar farm,1,,Spain,70.0,cancelled - inferred 4 y,,,BayWa R.E. AG [100%],37.9774,-0.6872,approximate,Comunidad Valenciana,L100000806118,G100000807039,GEM Global Solar Power Tracker Feb-2026
Alicante solar project,--,,Spain,1.2,operating,2017.0,,,38.3669,-0.5143,exact,Comunidad Valenciana,L100001053389,G100001061183,GEM Global Solar Power Tracker Feb-2026
Alisio solar farm,--,,Spain,82.5,pre-construction,,,Ignis Energía SL,37.5475,-4.3671,approximate,Andalucía,L100001005616,G100001006732,GEM Global Solar Power Tracker Feb-2026
Alizarsun solar farm,--,Alizarsun Solar PV Park,Spain,50.0,operating,2022.0,,Resolar [100%],41.182,-0.4397,approximate,Aragón,L100001007668,G100001008894,GEM Global Solar Power Tracker Feb-2026
Aljarafe solar farm,--,,Spain,74.8,pre-construction,,Enel Green Power España,Enel Green Power España SL [100%],37.4186,-6.095,approximate,Andalucía,L100000824316,G100000827427,GEM Global Solar Power Tracker Feb-2026
Allives solar farm,--,,Spain,120.0,pre-construction,,Nara Solar,,37.2841,-5.9294,approximate,Andalucía,L100000824317,G100000827428,GEM Global Solar Power Tracker Feb-2026
Almagro solar farm,--,,Spain,100.0,pre-construction,,Capital Wings 2000,Dos Grados Capital [100%],38.8914,-4.0344,approximate,Castilla-La Mancha,L100000824318,G100000827429,GEM Global Solar Power Tracker Feb-2026
Almansa (Akuo) solar farm,1,,Spain,75.6,pre-construction,,Figsel Trade,Akuo Energy SAS [100%],38.8054,-0.8808,approximate,Comunidad Valenciana,L100000824319,G100000827430,GEM Global Solar Power Tracker Feb-2026
Almansa (X-Elio) solar farm,1,,Spain,50.0,operating,2019.0,Eiffage Énergie Systèmes,X-Elio [100%],38.83,-1.048,exact,Castilla-La Mancha,L100000805765,G100000806634,GEM Global Solar Power Tracker Feb-2026
Almansol solar farm,--,,Spain,50.0,announced,,,,38.8863,-2.0153,approximate,Castilla-La Mancha,L100001007669,G100001008895,GEM Global Solar Power Tracker Feb-2026
Almaraz solar farm,1,,Spain,42.6,operating,2022.0,,Iberdrola SA [100%],39.7867,-5.7003,approximate,Extremadura,L100000824320,G100000827431,GEM Global Solar Power Tracker Feb-2026
Almaraz solar farm,2,,Spain,42.6,operating,2022.0,,Iberdrola SA [100%],39.7867,-5.7003,approximate,Extremadura,L100000824320,G100000827432,GEM Global Solar Power Tracker Feb-2026
Almargo solar farm,--,,Spain,100.0,pre-construction,,,Capital Wings 2000 SL,38.8592,-4.0811,approximate,Castilla-La Mancha,L100001005605,G100001006716,GEM Global Solar Power Tracker Feb-2026
Almenara solar farm,--,,Spain,50.0,pre-construction,,,Ignis Energía SL; ib vogt gmbH,41.3684,1.3243,exact,Cataluña,L100000824321,G100000827433,GEM Global Solar Power Tracker Feb-2026
Almendralejo solar farm,--,,Spain,125.0,operating,2023.0,,Acciona SA,38.8695,-6.9791,approximate,Extremadura,L100001007670,G100001008896,GEM Global Solar Power Tracker Feb-2026
Almendro solar farm,--,,Spain,50.0,pre-construction,,Almendro Solar,Hanwha Energy Corp [100%],42.0963,-4.6095,approximate,Castilla y León,L100001004587,G100001005384,GEM Global Solar Power Tracker Feb-2026
Almeria (Euder Energy) solar farm,1,,Spain,50.0,announced,,Euder Energy,Euder Energy SL [100%],36.8564,-2.4669,approximate,Andalucía,L100000824322,G100000827434,GEM Global Solar Power Tracker Feb-2026
Almeria (Euder Energy) solar farm,2,,Spain,50.0,announced,,Euder Energy,Euder Energy SL [100%],36.8564,-2.4669,approximate,Andalucía,L100000824322,G100000827435,GEM Global Solar Power Tracker Feb-2026
Almeria (Euder Energy) solar farm,3,,Spain,50.0,announced,,Euder Energy,Euder Energy SL [100%],36.8564,-2.4669,approximate,Andalucía,L100000824322,G100000827436,GEM Global Solar Power Tracker Feb-2026
Almeria solar project,--,,Spain,6.2,operating,2023.0,,,36.8704,-2.3072,exact,Andalucía,L100001009906,G100001011276,GEM Global Solar Power Tracker Feb-2026
Almizra solar farm,--,,Spain,30.0,pre-construction,,,,38.6735,-0.7934,exact,Comunidad Valenciana,L100001062403,G100001071673,GEM Global Solar Power Tracker Feb-2026
Almod I solar farm,--,,Spain,32.6,pre-construction,,,,37.76,-4.9456,approximate,Andalucía,L100001061938,G100001071044,GEM Global Solar Power Tracker Feb-2026
Almodóvar del Campo solar project,--,,Spain,3.4,operating,2025.0,,,38.7289,-4.2098,exact,Castilla-La Mancha,L100001009151,G100001010521,GEM Global Solar Power Tracker Feb-2026
Almodóvar del Río E solar project,--,,Spain,9.7,operating,2008.0,,,37.838,-4.972,exact,Andalucía,L100001009159,G100001010529,GEM Global Solar Power Tracker Feb-2026
Almodóvar del Río W solar project,--,,Spain,9.6,operating,2008.0,,,37.837,-4.98,exact,Andalucía,L100001009160,G100001010530,GEM Global Solar Power Tracker Feb-2026
Almoguera 1 solar farm,--,,Spain,45.6,pre-construction,,,Libienergy Energías SL,40.417,-2.9214,approximate,Castilla-La Mancha,L100001005464,G100001006503,GEM Global Solar Power Tracker Feb-2026
Almonacid solar project,--,,Spain,5.6,operating,2008.0,,,41.418,-1.2969,exact,Aragón,L100001009283,G100001010653,GEM Global Solar Power Tracker Feb-2026
Alpha Barroso solar farm,--,,Spain,40.0,pre-construction,,,,37.2801,-5.9653,approximate,Andalucía,L100001062052,G100001071177,GEM Global Solar Power Tracker Feb-2026
Alsemur solar farm,Alsemur 1,,Spain,38.0,pre-construction,,,Solaer Energías Bahía Blanca SL,38.6588,-4.2951,approximate,Castilla-La Mancha,L100001005376,G100001006409,GEM Global Solar Power Tracker Feb-2026
Alsemur solar farm,Alsemur 2,,Spain,38.0,pre-construction,,,Solaer Energías Bahía Blanca SL,38.6588,-4.2951,approximate,Castilla-La Mancha,L100001005376,G100001006410,GEM Global Solar Power Tracker Feb-2026
Alsemur solar farm,Alsemur 4,,Spain,15.0,shelved - inferred 2 y,,,Solaer Energías Bahía Blanca SL,38.6588,-4.2951,approximate,Castilla-La Mancha,L100001005376,G100001006498,GEM Global Solar Power Tracker Feb-2026
Alt Camp solar project I,--,,Spain,5.8,operating,2017.0,,,41.2815,1.2844,exact,Cataluña,L100001053149,G100001060943,GEM Global Solar Power Tracker Feb-2026
Alt Camp solar project II,--,,Spain,2.4,operating,2017.0,,,41.3241,1.2684,exact,Cataluña,L100001053569,G100001061363,GEM Global Solar Power Tracker Feb-2026
Alt Camp solar project III,--,,Spain,5.1,operating,2017.0,,,41.3168,1.2583,exact,Cataluña,L100001053700,G100001061494,GEM Global Solar Power Tracker Feb-2026
Alt Urgell solar project,--,,Spain,1.5,operating,2025.0,,,42.2016,1.3214,exact,Cataluña,L100001053582,G100001061376,GEM Global Solar Power Tracker Feb-2026
Alten El Casar solar farm,--,,Spain,13.0,operating,2019.0,,Alter Enersun SA; Grupo Ortiz,40.7025,-3.4297,approximate,Castilla-La Mancha,L100000824323,G100000827437,GEM Global Solar Power Tracker Feb-2026
Altiplano solar project I,--,,Spain,3.6,operating,2023.0,,,38.6224,-1.3474,exact,Región de Murcia,L100001052932,G100001060726,GEM Global Solar Power Tracker Feb-2026
Altiplano solar project II,--,,Spain,2.1,operating,2017.0,,,38.3409,-1.1131,exact,Región de Murcia,L100001053037,G100001060831,GEM Global Solar Power Tracker Feb-2026
Altiplano solar project III,--,,Spain,2.4,operating,2020.0,,,38.5848,-1.1181,exact,Región de Murcia,L100001053071,G100001060865,GEM Global Solar Power Tracker Feb-2026
Altiplano solar project IV,--,,Spain,1.5,operating,2023.0,,,38.4438,-1.2077,exact,Región de Murcia,L100001053234,G100001061028,GEM Global Solar Power Tracker Feb-2026
