name,phase,other_names,country,capacity_mw,status,start_year,operator,owner,lat,lon,location_accuracy,state,gem_location_id,gem_phase_id,source
Cáceres 2023 solar farm,--,,Spain,23.0,pre-construction,,,,39.4984,-6.3872,approximate,Extremadura,L100001062522,G100001071810,GEM Global Solar Power Tracker Feb-2026
Cáceres Lithium Mine solar farm,--,,Spain,350.0,announced,,,Extremadura New Energies (ENE) [50%]; Enalter [50%],39.4747,-6.3797,approximate,Extremadura,L100001005688,G100001006834,GEM Global Solar Power Tracker Feb-2026
Cáceres solar project,--,,Spain,19.8,operating,2023.0,,,39.4631,-6.308,exact,Extremadura,L100001009135,G100001010505,GEM Global Solar Power Tracker Feb-2026
Cáceres solar project I,--,,Spain,5.2,operating,2017.0,,,39.5372,-6.4416,exact,Extremadura,L100001009770,G100001011140,GEM Global Solar Power Tracker Feb-2026
Cáceres solar project II,--,,Spain,8.0,operating,2023.0,,,39.4812,-6.4328,exact,Extremadura,L100001053688,G100001061482,GEM Global Solar Power Tracker Feb-2026
Cádiz (Bruc Energy) solar farm,--,,Spain,104.0,pre-construction,,Bruc Iberia Energy Investment Partners,Bruc Iberia Energy Investment Partners [100%],36.5122,-6.2735,approximate,Andalucía,L100000824400,G100000827526,GEM Global Solar Power Tracker Feb-2026
Cárcheles solar project,--,,Spain,1.0,operating,2024.0,,,37.647,-3.6365,exact,Andalucía,L100001053024,G100001060818,GEM Global Solar Power Tracker Feb-2026
Cíjara Hybrid solar farm,--,,Spain,50.4,pre-construction,,,,39.448,-5.2188,approximate,Extremadura,L100001061861,G100001070948,GEM Global Solar Power Tracker Feb-2026
Córcega solar farm,--,,Spain,28.5,pre-construction,,,,38.7886,-4.1435,approximate,Castilla-La Mancha,L100001064199,G100001073843,GEM Global Solar Power Tracker Feb-2026
Córdoba solar project I,--,,Spain,3.5,operating,2017.0,,,37.8623,-4.7958,exact,Andalucía,L100001009959,G100001011329,GEM Global Solar Power Tracker Feb-2026
Córdoba solar project II,--,,Spain,10.9,operating,2017.0,,,37.9464,-4.5901,exact,Andalucía,L100001010052,G100001011422,GEM Global Solar Power Tracker Feb-2026
Córdoba solar project III,--,,Spain,1.1,operating,2022.0,,,37.8573,-4.8918,exact,Andalucía,L100001052855,G100001060649,GEM Global Solar Power Tracker Feb-2026
Córdoba solar project IV,--,,Spain,2.6,operating,2025.0,,,37.935,-4.7168,exact,Andalucía,L100001052909,G100001060703,GEM Global Solar Power Tracker Feb-2026
Córdoba solar project V,--,,Spain,3.5,operating,2024.0,,,37.8774,-4.8097,exact,Andalucía,L100001053359,G100001061153,GEM Global Solar Power Tracker Feb-2026
Córdoba solar project VI,--,,Spain,2.1,operating,2017.0,,,37.6967,-4.6129,exact,Andalucía,L100001053702,G100001061496,GEM Global Solar Power Tracker Feb-2026
Daganzo Altair solar farm,1,,Spain,47.0,pre-construction,,Altair Ecosolar,EiDF Solar [100%],40.7863,-3.3255,approximate,Castilla-La Mancha,L100000824485,G100000827638,GEM Global Solar Power Tracker Feb-2026
Daganzo Altair solar farm,2,,Spain,47.0,pre-construction,,Altair Ecosolar,EiDF Solar [100%],40.7863,-3.3255,approximate,Castilla-La Mancha,L100000824485,G100000827639,GEM Global Solar Power Tracker Feb-2026
Daimiel solar project,--,,Spain,19.9,operating,2023.0,,,38.9943,-3.5712,exact,Castilla-La Mancha,L100001009153,G100001010523,GEM Global Solar Power Tracker Feb-2026
Dalia solar farm,--,,Spain,129.8,pre-construction,,Green Capital Power,Capital Energy [100%],42.4224,-5.2208,approximate,Castilla y León,L100000824486,G100000827640,GEM Global Solar Power Tracker Feb-2026
Darro AES solar project,--,,Spain,8.2,operating,2017.0,,,37.335,-3.2518,exact,Andalucía,L100001009175,G100001010545,GEM Global Solar Power Tracker Feb-2026
Darro Epuron solar project,--,,Spain,13.7,operating,2017.0,,,37.3482,-3.2702,exact,Andalucía,L100001009176,G100001010546,GEM Global Solar Power Tracker Feb-2026
Dehesa Virginia solar farm,--,,Spain,30.7,pre-construction,,,,38.9528,-1.2355,approximate,Castilla-La Mancha,L100001062254,G100001071490,GEM Global Solar Power Tracker Feb-2026
Dehesilla 1 Hybrid solar farm,--,,Spain,47.5,pre-construction,,,Inversiones Empresariales Vapat SL [100%],41.8737,-4.7403,approximate,Castilla y León,L100000824487,G100000827641,GEM Global Solar Power Tracker Feb-2026
Dehesilla 2 Hybrid solar farm,--,,Spain,47.5,pre-construction,,,Inversiones Empresariales Vapat SL [100%],41.8514,-4.7043,approximate,Castilla y León,L100000824488,G100000827642,GEM Global Solar Power Tracker Feb-2026
Delos solar farm,--,Ciudad Rodrigo 2,Spain,20.6,pre-construction,,,Delos Solar SL [100%],40.6165,-6.5297,approximate,Castilla y León,L100001003972,G100001004612,GEM Global Solar Power Tracker Feb-2026
Deneb (Deneb Solar) solar farm,--,,Spain,44.0,pre-construction,,,Deneb Solar SL [100%],36.985,-4.9125,approximate,Andalucía,L100001004159,G100001004834,GEM Global Solar Power Tracker Feb-2026
Deneb (Forestalia) solar farm,--,,Spain,34.3,pre-construction,,Energía Inagotable de Deneb,Forestalia SL [100%],41.9933,-0.0813,approximate,Aragón,L100000824489,G100000827643,GEM Global Solar Power Tracker Feb-2026
Desafio solar farm,--,,Spain,50.0,operating,,,,41.3389,-0.5935,approximate,Aragón,L100001007678,G100001008905,GEM Global Solar Power Tracker Feb-2026
